bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | hemmaglutinin-esterase [Bovine coronavirus], 653
bcov | matrix protein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 516
bcov | matrix protein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12456
bcov | matrix protein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20592
bcov | matrix protein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3369
bcov | matrix protein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 409
bcov | matrix protein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 413
bcov | matrix protein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 364
bcov | matrix protein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 344
bcov | matrix protein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 454
bcov | matrix protein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 303
bcov | matrix protein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 697
bcov | matrix protein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 415
bcov | matrix protein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20541
bcov | matrix protein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12480
bcov | matrix protein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3075
bcov | matrix protein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 404
bcov | matrix protein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 360
bcov | matrix protein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 473
bcov | matrix protein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 324
bcov | matrix protein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 504
bcov | matrix protein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 397
bcov | matrix protein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 558
bcov | matrix protein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 573
bcov | matrix protein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 460
bcov | matrix protein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 725
bcov | matrix protein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 438
bcov | matrix protein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 491
bcov | matrix protein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20526
bcov | matrix protein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12453
bcov | nucleocapsid protein [Bovine coronavirus], bcov | internal protein [Bovine coronavirus], 723
bcov | nucleocapsid protein [Bovine coronavirus], bcov | orf1ab polyprotein [Bovine coronavirus], 19935
bcov | nucleocapsid protein [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 11802
bcov | nucleocapsid protein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 2273
bcov | nucleocapsid protein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 956
bcov | nucleocapsid protein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 1080
bcov | nucleocapsid protein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 1113
bcov | nucleocapsid protein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 784
bcov | nucleocapsid protein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 671
bcov | nucleocapsid protein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 18927
bcov | nucleocapsid protein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 10908
bcov | nucleocapsid protein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 711
bcov | nucleocapsid protein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 704
bcov | nucleocapsid protein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 2773
bcov | nucleocapsid protein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 1017
bcov | nucleocapsid protein [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 1092
bcov | nucleocapsid protein [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 778
bcov | nucleocapsid protein [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 48
bcov | nucleocapsid protein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 1164
bcov | nucleocapsid protein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 11802
bcov | nucleocapsid protein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 19938
bcov | nucleocapsid protein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 2770
bcov | nucleocapsid protein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 1035
bcov | nucleocapsid protein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 1017
bcov | nucleocapsid protein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 755
bcov | nucleocapsid protein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 790
bcov | nucleocapsid protein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 1098
bcov | nucleocapsid protein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 791
bcov | nucleocapsid protein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 633
bcov | nucleocapsid protein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 1010
bcov | nucleocapsid protein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 19887
bcov | nucleocapsid protein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 11826
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 2499
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 721
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 904
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 1116
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 785
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 1155
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 982
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 1212
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 1227
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 1092
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 634
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 1050
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 1134
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 19872
bcov | nucleocapsid protein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 11799
bcov | internal protein [Bovine coronavirus], bcov | orf1ab polyprotein [Bovine coronavirus], 20658
bcov | internal protein [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 12525
bcov | internal protein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 2898
bcov | internal protein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 332
bcov | internal protein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 385
bcov | internal protein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 407
bcov | internal protein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 343
bcov | internal protein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 660
bcov | internal protein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 19650
bcov | internal protein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 11631
bcov | internal protein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 430
bcov | internal protein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 756
bcov | internal protein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 3438
bcov | internal protein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 354
bcov | internal protein [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 394
bcov | internal protein [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 362
bcov | internal protein [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 739
bcov | internal protein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 442
bcov | internal protein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 12525
bcov | internal protein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 20661
bcov | internal protein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 3438
bcov | internal protein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 366
bcov | internal protein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 347
bcov | internal protein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 366
bcov | internal protein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 343
bcov | internal protein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 397
bcov | internal protein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 336
bcov | internal protein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 714
bcov | internal protein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 345
bcov | internal protein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 20610
bcov | internal protein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 12549
bcov | internal protein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 3144
bcov | internal protein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 412
bcov | internal protein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 318
bcov | internal protein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 407
bcov | internal protein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 346
bcov | internal protein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 436
bcov | internal protein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 337
bcov | internal protein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 489
bcov | internal protein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 504
bcov | internal protein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 392
bcov | internal protein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 738
bcov | internal protein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 363
bcov | internal protein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 419
bcov | internal protein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 20595
bcov | internal protein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 12522
bcov | orf1ab polyprotein [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 8133
bcov | orf1ab polyprotein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 17760
bcov | orf1ab polyprotein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 20880
bcov | orf1ab polyprotein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 21015
bcov | orf1ab polyprotein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 21048
bcov | orf1ab polyprotein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 20604
bcov | orf1ab polyprotein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 20112
bcov | orf1ab polyprotein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 9065
bcov | orf1ab polyprotein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 11257
bcov | orf1ab polyprotein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 20445
bcov | orf1ab polyprotein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 20007
bcov | orf1ab polyprotein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 17220
bcov | orf1ab polyprotein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 20952
bcov | orf1ab polyprotein [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 21027
bcov | orf1ab polyprotein [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 20589
bcov | orf1ab polyprotein [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 19935
bcov | orf1ab polyprotein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 21099
bcov | orf1ab polyprotein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 8449
bcov | orf1ab polyprotein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 585
bcov | orf1ab polyprotein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 17220
bcov | orf1ab polyprotein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 20970
bcov | orf1ab polyprotein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 20952
bcov | orf1ab polyprotein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 20541
bcov | orf1ab polyprotein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 20607
bcov | orf1ab polyprotein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 21033
bcov | orf1ab polyprotein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 20622
bcov | orf1ab polyprotein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 20040
bcov | orf1ab polyprotein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 20943
bcov | orf1ab polyprotein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 8953
bcov | orf1ab polyprotein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 11092
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 17514
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 20457
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 20817
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 21051
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 20616
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 21090
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 20913
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 21147
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 21162
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 21027
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 20013
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 20985
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 21069
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 8982
bcov | orf1ab polyprotein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 11090
bcov | orf1a polyprotein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 9643
bcov | orf1a polyprotein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 12747
bcov | orf1a polyprotein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 12882
bcov | orf1a polyprotein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 12915
bcov | orf1a polyprotein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 12471
bcov | orf1a polyprotein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 11979
bcov | orf1a polyprotein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 10180
bcov | orf1a polyprotein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 5968
bcov | orf1a polyprotein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 12312
bcov | orf1a polyprotein [Bovine coronavirus], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 11874
bcov | orf1a polyprotein [Bovine coronavirus], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 9161
bcov | orf1a polyprotein [Bovine coronavirus], humanoc43 | ns12.9 [Human coronavirus OC43], 12819
bcov | orf1a polyprotein [Bovine coronavirus], humanoc43 | envelope protein [Human coronavirus OC43], 12894
bcov | orf1a polyprotein [Bovine coronavirus], humanoc43 | membrane protein [Human coronavirus OC43], 12456
bcov | orf1a polyprotein [Bovine coronavirus], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 11802
bcov | orf1a polyprotein [Bovine coronavirus], humanoc43 | internal protein [Human coronavirus OC43], 12966
bcov | orf1a polyprotein [Bovine coronavirus], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 394
bcov | orf1a polyprotein [Bovine coronavirus], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 8457
bcov | orf1a polyprotein [Bovine coronavirus], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 9191
bcov | orf1a polyprotein [Bovine coronavirus], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 12837
bcov | orf1a polyprotein [Bovine coronavirus], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 12819
bcov | orf1a polyprotein [Bovine coronavirus], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 12408
bcov | orf1a polyprotein [Bovine coronavirus], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 12474
bcov | orf1a polyprotein [Bovine coronavirus], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 12900
bcov | orf1a polyprotein [Bovine coronavirus], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 12489
bcov | orf1a polyprotein [Bovine coronavirus], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 11907
bcov | orf1a polyprotein [Bovine coronavirus], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 12810
bcov | orf1a polyprotein [Bovine coronavirus], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 10890
bcov | orf1a polyprotein [Bovine coronavirus], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 6095
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | spike glycoprotein [SARS coronavirus Tor2], 9430
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF3a protein [SARS coronavirus Tor2], 12324
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF3b protein [SARS coronavirus Tor2], 12684
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | small envelope protein [SARS coronavirus Tor2], 12918
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 12483
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF6 protein [SARS coronavirus Tor2], 12957
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF7a protein [SARS coronavirus Tor2], 12780
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF7b protein [SARS coronavirus Tor2], 13014
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF8a protein [SARS coronavirus Tor2], 13029
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF8b protein [SARS coronavirus Tor2], 12894
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 11880
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF9b protein [SARS coronavirus Tor2], 12852
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF9a protein [SARS coronavirus Tor2], 12936
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 10891
bcov | orf1a polyprotein [Bovine coronavirus], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 6087
human229e | surface glycoprotein [Human coronavirus 229E], human229e | 4a protein [Human coronavirus 229E], 3120
human229e | surface glycoprotein [Human coronavirus 229E], human229e | 4b protein [Human coronavirus 229E], 3255
human229e | surface glycoprotein [Human coronavirus 229E], human229e | envelope protein [Human coronavirus 229E], 3288
human229e | surface glycoprotein [Human coronavirus 229E], human229e | membrane protein [Human coronavirus 229E], 2844
human229e | surface glycoprotein [Human coronavirus 229E], human229e | nucleocapsid protein [Human coronavirus 229E], 2399
human229e | surface glycoprotein [Human coronavirus 229E], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 16752
human229e | surface glycoprotein [Human coronavirus 229E], human229e | replicase polyprotein 1a [Human coronavirus 229E], 8769
human229e | surface glycoprotein [Human coronavirus 229E], humanoc43 | ns2 [Human coronavirus OC43], 2685
human229e | surface glycoprotein [Human coronavirus 229E], humanoc43 | hemagglutinin-esterase [Human coronavirus OC43], 2305
human229e | surface glycoprotein [Human coronavirus 229E], humanoc43 | spike surface glycoprotein [Human coronavirus OC43], 1925
human229e | surface glycoprotein [Human coronavirus 229E], humanoc43 | ns12.9 [Human coronavirus OC43], 3192
human229e | surface glycoprotein [Human coronavirus 229E], humanoc43 | envelope protein [Human coronavirus OC43], 3267
human229e | surface glycoprotein [Human coronavirus 229E], humanoc43 | membrane protein [Human coronavirus OC43], 2829
human229e | surface glycoprotein [Human coronavirus 229E], humanoc43 | nucleocapsid protein [Human coronavirus OC43], 2272
human229e | surface glycoprotein [Human coronavirus 229E], humanoc43 | internal protein [Human coronavirus OC43], 3339
human229e | surface glycoprotein [Human coronavirus 229E], humanoc43 | ORF1a polyprotein [Human coronavirus OC43], 9641
human229e | surface glycoprotein [Human coronavirus 229E], humanoc43 | ORF1ab polyprotein [Human coronavirus OC43], 17763
human229e | surface glycoprotein [Human coronavirus 229E], mers | spike protein [Middle East respiratory syndrome-related coronavirus], 1952
human229e | surface glycoprotein [Human coronavirus 229E], mers | NS3 protein [Middle East respiratory syndrome-related coronavirus], 3210
human229e | surface glycoprotein [Human coronavirus 229E], mers | NS4A protein [Middle East respiratory syndrome-related coronavirus], 3192
human229e | surface glycoprotein [Human coronavirus 229E], mers | NS4B protein [Middle East respiratory syndrome-related coronavirus], 2781
human229e | surface glycoprotein [Human coronavirus 229E], mers | NS5 protein [Middle East respiratory syndrome-related coronavirus], 2847
human229e | surface glycoprotein [Human coronavirus 229E], mers | envelope protein [Middle East respiratory syndrome-related coronavirus], 3273
human229e | surface glycoprotein [Human coronavirus 229E], mers | membrane protein [Middle East respiratory syndrome-related coronavirus], 2862
human229e | surface glycoprotein [Human coronavirus 229E], mers | nucleoprotein [Middle East respiratory syndrome-related coronavirus], 2345
human229e | surface glycoprotein [Human coronavirus 229E], mers | ORF8b protein [Middle East respiratory syndrome-related coronavirus], 3183
human229e | surface glycoprotein [Human coronavirus 229E], mers | 1AB polyprotein [Middle East respiratory syndrome-related coronavirus], 17712
human229e | surface glycoprotein [Human coronavirus 229E], mers | 1A polyprotein [Middle East respiratory syndrome-related coronavirus], 9655
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | spike glycoprotein [SARS coronavirus Tor2], 1799
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF3a protein [SARS coronavirus Tor2], 2697
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF3b protein [SARS coronavirus Tor2], 3057
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | small envelope protein [SARS coronavirus Tor2], 3291
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | membrane glycoprotein M [SARS coronavirus Tor2], 2856
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF6 protein [SARS coronavirus Tor2], 3330
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF7a protein [SARS coronavirus Tor2], 3153
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF7b protein [SARS coronavirus Tor2], 3387
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF8a protein [SARS coronavirus Tor2], 3402
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF8b protein [SARS coronavirus Tor2], 3267
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | nucleocapsid protein [SARS coronavirus Tor2], 2336
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF9b protein [SARS coronavirus Tor2], 3225
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF9a protein [SARS coronavirus Tor2], 3309
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF1ab polyprotein [SARS coronavirus Tor2], 17697
human229e | surface glycoprotein [Human coronavirus 229E], sars1 | ORF1a polyprotein [SARS coronavirus Tor2], 9626
human229e | 4a protein [Human coronavirus 229E], human229e | 4b protein [Human coronavirus 229E], 206
human229e | 4a protein [Human coronavirus 229E], human229e | envelope protein [Human coronavirus 229E], 216
human229e | 4a protein [Human coronavirus 229E], human229e | membrane protein [Human coronavirus 229E], 361
human229e | 4a protein [Human coronavirus 229E], human229e | nucleocapsid protein [Human coronavirus 229E], 783
human229e | 4a protein [Human coronavirus 229E], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 19872
human229e | 4a protein [Human coronavirus 229E], human229e | replicase polyprotein 1a [Human coronavirus 229E], 11853
